,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,popularity
0,0.636,0.909,0,-3.685,1,0.0439,0.149,0.0,0.719,0.61,154.189,audio_features,4ASA1PZyWGbuc4d9N8OAcF,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,https://api.spotify.com/v1/tracks/4ASA1PZyWGbuc4d9N8OAcF,https://api.spotify.com/v1/audio-analysis/4ASA1PZyWGbuc4d9N8OAcF,148800,4,Eu Gosto Assim - Ao Vivo,85
1,0.774,0.742,8,-4.178,1,0.0766,0.473,0.000472,0.342,0.736,134.991,audio_features,7AwVSKaQxpidrtYBerkHKk,spotify:track:7AwVSKaQxpidrtYBerkHKk,https://api.spotify.com/v1/tracks/7AwVSKaQxpidrtYBerkHKk,https://api.spotify.com/v1/audio-analysis/7AwVSKaQxpidrtYBerkHKk,194023,4,Pipoco,77
2,0.839,0.771,7,-4.673,1,0.114,0.591,0.0,0.0582,0.809,125.96,audio_features,25rz3D4oroFC0GXm3xFXnG,spotify:track:25rz3D4oroFC0GXm3xFXnG,https://api.spotify.com/v1/tracks/25rz3D4oroFC0GXm3xFXnG,https://api.spotify.com/v1/audio-analysis/25rz3D4oroFC0GXm3xFXnG,202563,4,Tem Cabaré Essa Noite,70
3,0.541,0.713,0,-4.313,1,0.0368,0.586,0.0,0.661,0.285,110.414,audio_features,1K8AtBJXcdq5mywMnZuARP,spotify:track:1K8AtBJXcdq5mywMnZuARP,https://api.spotify.com/v1/tracks/1K8AtBJXcdq5mywMnZuARP,https://api.spotify.com/v1/audio-analysis/1K8AtBJXcdq5mywMnZuARP,187381,4,Termina Comigo Antes,72
4,0.713,0.625,0,-3.473,1,0.0268,0.573,0.0,0.11,0.687,114.023,audio_features,4xxeEWGQNFQ6qehlnev5LS,spotify:track:4xxeEWGQNFQ6qehlnev5LS,https://api.spotify.com/v1/tracks/4xxeEWGQNFQ6qehlnev5LS,https://api.spotify.com/v1/audio-analysis/4xxeEWGQNFQ6qehlnev5LS,205685,4,Te Amo Demais,74
5,0.714,0.748,11,-4.605,1,0.0679,0.59,0.0,0.626,0.698,105.031,audio_features,1ELsaYdj2NlxLvkx9g24xZ,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,https://api.spotify.com/v1/tracks/1ELsaYdj2NlxLvkx9g24xZ,https://api.spotify.com/v1/audio-analysis/1ELsaYdj2NlxLvkx9g24xZ,173367,4,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,80
6,0.632,0.817,7,-5.028,1,0.122,0.3,0.0,0.573,0.68,151.993,audio_features,546dFmvwFGBY7MJOkV5ctq,spotify:track:546dFmvwFGBY7MJOkV5ctq,https://api.spotify.com/v1/tracks/546dFmvwFGBY7MJOkV5ctq,https://api.spotify.com/v1/audio-analysis/546dFmvwFGBY7MJOkV5ctq,171712,4,Todo Seu - Ao Vivo,74
7,0.695,0.643,1,-5.405,1,0.0964,0.601,0.0,0.131,0.813,146.48,audio_features,4eoqnVPLzROP9tDxcFQAAK,spotify:track:4eoqnVPLzROP9tDxcFQAAK,https://api.spotify.com/v1/tracks/4eoqnVPLzROP9tDxcFQAAK,https://api.spotify.com/v1/audio-analysis/4eoqnVPLzROP9tDxcFQAAK,138502,4,Alimentando Vontade,69
8,0.488,0.849,0,-4.402,1,0.0555,0.531,0.0,0.361,0.618,92.614,audio_features,3lPVEvvFoUGZ783i6iRKdC,spotify:track:3lPVEvvFoUGZ783i6iRKdC,https://api.spotify.com/v1/tracks/3lPVEvvFoUGZ783i6iRKdC,https://api.spotify.com/v1/audio-analysis/3lPVEvvFoUGZ783i6iRKdC,198339,4,M de Mulher - Ao Vivo,56
9,0.808,0.933,5,-3.626,0,0.17,0.197,0.0,0.207,0.886,132.952,audio_features,59flXgg5UgxV2WyMOnbI8k,spotify:track:59flXgg5UgxV2WyMOnbI8k,https://api.spotify.com/v1/tracks/59flXgg5UgxV2WyMOnbI8k,https://api.spotify.com/v1/audio-analysis/59flXgg5UgxV2WyMOnbI8k,157918,4,Moçada do Interior,51
